City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
158,Hasaki,JP,35.7333,140.8333,75.6,100,8.99,light rain
159,Kaitangata,NZ,-46.2817,169.8464,45.77,8,2.8,clear sky
160,Narsaq,GL,60.9167,-46.05,44.82,100,4.23,overcast clouds
161,Champerico,GT,14.3,-91.9167,77.67,100,9.51,overcast clouds
162,Rabo De Peixe,PT,37.8,-25.5833,68.27,75,6.91,broken clouds
163,Kavieng,PG,-2.5744,150.7967,84.33,16,14.65,few clouds
164,Fukue,JP,32.6881,128.8419,74.48,100,5.35,overcast clouds
165,Kamloops,CA,50.6665,-120.3192,66.58,85,5.01,overcast clouds
166,Port Lincoln,AU,-34.7333,135.8667,57.38,0,5.46,clear sky
167,Mount Gambier,AU,-37.8333,140.7667,51.71,100,6.91,mist
168,Mawlaik,MM,23.6333,94.4167,77.38,100,0.34,overcast clouds
169,Ugoofaaru,MV,5.6667,73.0,83.07,100,11.14,overcast clouds
170,Ipixuna,BR,-1.7625,-48.8043,76.39,52,1.32,broken clouds
171,Westport,US,41.1415,-73.3579,69.62,100,9.22,overcast clouds
172,Tieling,CN,42.2931,123.8414,73.45,24,13.4,few clouds
173,Chardara,KZ,41.2547,67.9692,76.64,44,3.11,scattered clouds
174,Bratsk,RU,56.1325,101.6142,61.29,100,9.91,light rain
175,Saint-Augustin,CA,51.226,-58.6502,63.36,84,8.66,broken clouds
176,Norman Wells,CA,65.282,-126.8329,65.88,39,6.31,scattered clouds
177,Bogovarovo,RU,58.9785,47.0246,50.97,13,3.83,few clouds
178,Doha,QA,25.2867,51.5333,94.98,0,14.97,clear sky
179,Barre,US,44.197,-72.5021,69.48,75,10.36,broken clouds
180,Lagoa,PT,39.05,-27.9833,65.57,0,7.87,clear sky
181,Didsbury,GB,53.417,-2.2315,65.64,100,4.61,overcast clouds
182,Tasiilaq,GL,65.6145,-37.6368,35.76,100,0.54,light rain
183,Mattru,SL,7.6244,-11.8332,73.62,100,2.1,moderate rain
184,Svetlogorsk,BY,52.6333,29.7333,56.39,100,1.1,overcast clouds
185,Linhares,BR,-19.3911,-40.0722,62.2,0,0.56,clear sky
186,Phalaborwa,ZA,-23.943,31.1411,50.59,0,2.08,clear sky
187,Ati,TD,13.2154,18.3353,89.04,69,5.91,broken clouds
188,Lac Du Bonnet,CA,50.2536,-96.0612,64.35,1,10.58,clear sky
189,Aiquile,BO,-18.2041,-65.1807,51.24,0,4.32,clear sky
190,Yar-Sale,RU,66.8333,70.8333,52.79,26,8.88,scattered clouds
191,Teguldet,RU,57.3064,88.1667,56.98,99,6.49,overcast clouds
192,Uribia,CO,11.7139,-72.266,85.23,80,16.6,broken clouds
193,Portland,US,45.5234,-122.6762,71.47,75,8.05,broken clouds
194,Nikolskoye,RU,59.7035,30.7861,55.87,100,6.29,overcast clouds
195,Broome,US,42.2506,-75.833,74.01,75,8.05,broken clouds
196,Khartoum,SD,15.5518,32.5324,89.02,14,11.03,few clouds
197,North Bend,US,43.4065,-124.2243,62.24,75,6.91,broken clouds
198,Harper,LR,4.375,-7.7169,76.66,100,10.49,light rain
199,Coihaique,CL,-45.5752,-72.0662,37.35,40,0.0,scattered clouds
200,Ciudad Bolivar,VE,8.1222,-63.5497,80.87,8,10.49,clear sky
201,The Pas,CA,53.8251,-101.2541,63.12,100,9.17,overcast clouds
202,Georgetown,MY,5.4112,100.3354,78.73,20,0.0,few clouds
203,Gornopravdinsk,RU,60.05,69.9,56.7,16,7.29,few clouds
204,San Ignacio,BZ,17.1561,-89.0714,73.54,75,4.61,broken clouds
205,Cabo San Lucas,MX,22.8909,-109.9124,88.18,20,10.36,few clouds
206,Isangel,VU,-19.55,169.2667,81.19,100,13.04,light rain
207,Talnakh,RU,69.4865,88.3972,54.21,100,9.13,moderate rain
208,Jiuquan,CN,39.7432,98.5174,80.08,10,5.35,clear sky
209,Makakilo City,US,21.3469,-158.0858,82.72,100,14.97,overcast clouds
210,Kosonsoy,UZ,41.2561,71.5508,66.76,100,5.68,overcast clouds
211,Saldanha,ZA,-33.0117,17.9442,58.06,98,14.12,overcast clouds
212,Komsomolskiy,UZ,40.4272,71.7189,68.72,100,0.0,overcast clouds
213,Seoul,KR,37.5683,126.9778,71.2,75,1.14,mist
214,Camrose,CA,53.0168,-112.8353,67.93,86,12.01,overcast clouds
215,Hithadhoo,MV,-0.6,73.0833,82.13,100,9.8,moderate rain
216,Alofi,NU,-19.0595,-169.9187,80.49,75,16.11,broken clouds
217,Mwense,ZM,-10.3845,28.698,59.65,12,5.14,few clouds
218,Saskylakh,RU,71.9167,114.0833,58.44,73,12.97,broken clouds
219,Kalmunai,LK,7.4167,81.8167,78.55,100,3.42,light rain
220,Vagur,FO,61.4732,-6.8119,48.29,100,21.32,moderate rain
221,Gat,IL,31.61,34.7642,76.82,0,4.23,clear sky
222,Geraldton,AU,-28.7667,114.6,66.61,40,10.36,moderate rain
223,Linjiang,CN,41.8069,126.9078,67.53,75,5.3,moderate rain
224,Odienne,CI,9.51,-7.5692,69.21,100,1.66,light rain
225,Gwadar,PK,25.1216,62.3254,83.07,84,6.53,broken clouds
226,Port Hedland,AU,-20.3167,118.5667,75.25,23,8.05,few clouds
227,Korla,CN,41.7597,86.1469,75.76,100,20.4,overcast clouds
228,Atbasar,KZ,51.8,68.3333,65.08,29,3.53,scattered clouds
