City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Kenai,US,2022-06-06 00:28:17,60.5544,-151.2583,70.03,70,0,20.71
121,Cam Ranh,VN,2022-06-06 00:28:17,11.9214,109.1591,84.16,74,20,1.14
122,Severo-Kurilsk,RU,2022-06-06 00:28:17,50.6789,156.125,45.84,82,74,4.09
123,Bilma,NE,2022-06-06 00:28:18,18.6853,12.9164,87.48,28,79,11.7
124,Upernavik,GL,2022-06-06 00:28:18,72.7868,-56.1549,30.83,76,1,10.69
125,Morant Bay,JM,2022-06-06 00:28:18,17.8815,-76.4093,83.82,89,56,7.9
126,Rodrigues Alves,BR,2022-06-06 00:28:19,-7.738,-72.6509,76.03,83,86,2.39
127,Kindersley,CA,2022-06-06 00:28:19,51.4668,-109.1682,68.02,26,75,19.57
128,Oktyabrskoye,RU,2022-06-06 00:28:19,43.0645,44.7417,57.34,100,45,2.24
129,Kodiak,US,2022-06-06 00:24:27,57.79,-152.4072,56.71,72,75,12.66
130,Bayan,CN,2022-06-06 00:28:20,46.0833,127.4,48.78,93,100,13.31
131,Bandarbeyla,SO,2022-06-06 00:28:20,9.4942,50.8122,79.12,80,66,22.08
132,Merauke,ID,2022-06-06 00:28:21,-8.4667,140.3333,80.8,75,78,2.59
133,Ponta Do Sol,PT,2022-06-06 00:28:21,32.6667,-17.1,65.03,76,14,1.88
134,Sistranda,NO,2022-06-06 00:28:22,63.7256,8.834,39.16,66,54,8.01
135,Flinders,AU,2022-06-06 00:28:22,-34.5833,150.8552,57.38,55,24,17.0
136,Tuktoyaktuk,CA,2022-06-06 00:28:22,69.4541,-133.0374,32.32,74,47,8.59
137,Butaritari,KI,2022-06-06 00:28:23,3.0707,172.7902,81.32,76,84,13.78
138,Stokmarknes,NO,2022-06-06 00:28:23,68.5646,14.9108,42.78,75,75,13.8
139,Atbasar,KZ,2022-06-06 00:28:24,51.8,68.3333,54.66,55,100,10.31
140,Vanimo,PG,2022-06-06 00:28:24,-2.6741,141.3028,82.69,72,95,3.98
141,Loreto,MX,2022-06-06 00:29:24,22.2667,-101.9667,84.49,16,80,18.16
142,Tobol,KZ,2022-06-06 00:29:25,52.6844,62.5794,45.61,87,87,3.42
143,Gorom-Gorom,BF,2022-06-06 00:29:25,14.4439,-0.2361,89.53,36,14,9.95
144,Doha,QA,2022-06-06 00:29:16,25.2867,51.5333,86.31,65,0,2.3
145,Sukhobezvodnoye,RU,2022-06-06 00:29:26,57.0491,44.8891,50.86,98,98,3.6
146,Gizo,SB,2022-06-06 00:29:26,-8.103,156.8419,83.3,71,53,9.82
147,Nola,IT,2022-06-06 00:29:26,40.922,14.5329,82.26,52,97,2.3
148,Ulverstone,AU,2022-06-06 00:29:27,-41.15,146.1667,49.35,69,61,15.7
149,Tura,IN,2022-06-06 00:29:27,25.5198,90.2201,73.35,96,54,4.36
150,Clyde River,CA,2022-06-06 00:29:27,70.4692,-68.5914,32.23,86,0,6.91
151,San Patricio,US,2022-06-06 00:29:28,28.017,-97.5169,90.54,56,1,16.67
152,Cockburn Town,TC,2022-06-06 00:24:29,21.4612,-71.1419,82.36,74,75,5.75
